username,group,marks_prop,n,group_label,marks_num,first_task,later_tasks
anon107,C-CG,0.5,30,"C-CG
(n=30)",2,C,CG
anon108,C-CG,1,30,"C-CG
(n=30)",4,C,CG
anon110,C-CG,1,30,"C-CG
(n=30)",4,C,CG
anon112,C-CG,0.75,30,"C-CG
(n=30)",3,C,CG
anon123,C-CG,0.5,30,"C-CG
(n=30)",2,C,CG
anon126,C-CG,0.75,30,"C-CG
(n=30)",3,C,CG
anon127,C-CG,0,30,"C-CG
(n=30)",0,C,CG
anon144,C-CG,0.75,30,"C-CG
(n=30)",3,C,CG
anon148,C-CG,0.75,30,"C-CG
(n=30)",3,C,CG
anon168,C-CG,0.75,30,"C-CG
(n=30)",3,C,CG
anon171,C-CG,0.5,30,"C-CG
(n=30)",2,C,CG
anon174,C-CG,0.25,30,"C-CG
(n=30)",1,C,CG
anon175,C-CG,0.75,30,"C-CG
(n=30)",3,C,CG
anon182,C-CG,1,30,"C-CG
(n=30)",4,C,CG
anon184,C-CG,0.75,30,"C-CG
(n=30)",3,C,CG
anon202,C-CG,0.75,30,"C-CG
(n=30)",3,C,CG
anon206,C-CG,1,30,"C-CG
(n=30)",4,C,CG
anon211,C-CG,1,30,"C-CG
(n=30)",4,C,CG
anon218,C-CG,0.5,30,"C-CG
(n=30)",2,C,CG
anon25,C-CG,1,30,"C-CG
(n=30)",4,C,CG
anon33,C-CG,0.25,30,"C-CG
(n=30)",1,C,CG
anon35,C-CG,0.5,30,"C-CG
(n=30)",2,C,CG
anon5,C-CG,1,30,"C-CG
(n=30)",4,C,CG
anon50,C-CG,0.75,30,"C-CG
(n=30)",3,C,CG
anon53,C-CG,1,30,"C-CG
(n=30)",4,C,CG
anon65,C-CG,1,30,"C-CG
(n=30)",4,C,CG
anon85,C-CG,1,30,"C-CG
(n=30)",4,C,CG
anon90,C-CG,1,30,"C-CG
(n=30)",4,C,CG
anon96,C-CG,1,30,"C-CG
(n=30)",4,C,CG
anon98,C-CG,0.5,30,"C-CG
(n=30)",2,C,CG
anon103,C-GC,1,28,"C-GC
(n=28)",4,C,GC
anon104,C-GC,0.75,28,"C-GC
(n=28)",3,C,GC
anon113,C-GC,1,28,"C-GC
(n=28)",4,C,GC
anon117,C-GC,0.5,28,"C-GC
(n=28)",2,C,GC
anon125,C-GC,1,28,"C-GC
(n=28)",4,C,GC
anon128,C-GC,1,28,"C-GC
(n=28)",4,C,GC
anon13,C-GC,0.5,28,"C-GC
(n=28)",2,C,GC
anon156,C-GC,1,28,"C-GC
(n=28)",4,C,GC
