username,group,overall_group,marks_available,marks_attained,marks_incdec,marks_bdd,marks_far_incdec,marks_far_bdd,marks_far_attained,first_task,later_tasks,n,group_label
anon10,CG,C,15,13.5,7,6,2,2,4,C,,61,CG (n=61)
anon100,CG,C,15,12.5,7,5,2,2,4,C,,61,CG (n=61)
anon101,GC,G,15,10.5,7,3,2,2,4,G,,60,GC (n=60)
anon105,CG,C,15,4,2,2,2,2,4,C,,61,CG (n=61)
anon108,CG,C,15,14,7,6,2,2,4,C,,61,CG (n=61)
anon109,CG,C,11,8.5,5,3,0,0,0,C,,61,CG (n=61)
anon110,GC,G,15,13.5,7,6,2,2,4,G,,60,GC (n=60)
anon113,GC,G,15,11.5,6,5,2,2,4,G,,60,GC (n=60)
anon114,CG,C,15,11.5,6,5,2,2,4,C,,61,CG (n=61)
anon115,GC,G,15,13,7,5,2,2,4,G,,60,GC (n=60)
anon116,CG,C,15,11,7,4,2,2,4,C,,61,CG (n=61)
anon117,CG,C,15,14,7,6,2,2,4,C,,61,CG (n=61)
anon118,CG,C,15,12,7,4,2,2,4,C,,61,CG (n=61)
anon119,GC,G,15,9,4,5,1,2,3,G,,60,GC (n=60)
anon12,CG,C,15,10,6,4,2,2,4,C,,61,CG (n=61)
anon121,GC,G,15,10,5,4,2,2,4,G,,60,GC (n=60)
anon122,CG,C,15,7,6,0,2,0,2,C,,61,CG (n=61)
anon128,CG,C,15,6.5,4,2,2,1,3,C,,61,CG (n=61)
anon13,GC,G,11,3,1,2,0,0,0,G,,60,GC (n=60)
anon133,GC,G,12,4,3,1,2,1,3,G,,60,GC (n=60)
anon134,CG,C,15,9,6,2,2,1,3,C,,61,CG (n=61)
anon135,GC,G,15,12.5,7,5,2,2,4,G,,60,GC (n=60)
anon136,GC,G,15,10.5,7,3,2,1,3,G,,60,GC (n=60)
anon137,GC,G,15,13.5,7,6,2,2,4,G,,60,GC (n=60)
anon138,GC,G,15,11,6,4,2,2,4,G,,60,GC (n=60)
anon139,CG,C,15,9.5,5,4,2,2,4,C,,61,CG (n=61)
anon142,GC,G,15,13,7,5,2,1,3,G,,60,GC (n=60)
anon143,CG,C,15,8,6,2,2,1,3,C,,61,CG (n=61)
anon148,CG,C,15,6,3,3,2,2,4,C,,61,CG (n=61)
anon153,CG,C,15,13.5,7,6,2,2,4,C,,61,CG (n=61)
anon156,GC,G,15,6,3,3,2,2,4,G,,60,GC (n=60)
anon157,CG,C,15,10.5,5,5,1,1,2,C,,61,CG (n=61)
anon160,GC,G,15,12.5,7,5,2,2,4,G,,60,GC (n=60)
anon162,CG,C,15,11.5,7,4,2,1,3,C,,61,CG (n=61)
anon164,CG,C,15,12,7,4,2,2,4,C,,61,CG (n=61)
anon165,GC,G,4,2,1,1,1,1,2,G,,60,GC (n=60)
anon166,GC,G,15,11,7,4,2,2,4,G,,60,GC (n=60)
anon167,CG,C,15,8,4,4,2,2,4,C,,61,CG (n=61)
anon170,GC,G,15,13,7,5,2,2,4,G,,60,GC (n=60)
anon171,GC,G,15,4,2,2,2,2,4,G,,60,GC (n=60)
anon173,GC,G,15,6.5,3,3,2,2,4,G,,60,GC (n=60)
anon174,CG,C,15,6,3,3,2,2,4,C,,61,CG (n=61)
anon177,CG,C,15,14,7,6,2,2,4,C,,61,CG (n=61)
anon18,CG,C,15,11.5,7,4,2,1,3,C,,61,CG (n=61)
anon180,GC,G,4,4,2,2,2,2,4,G,,60,GC (n=60)
anon183,CG,C,15,5,3,2,2,1,3,C,,61,CG (n=61)
anon184,CG,C,15,13,7,6,2,2,4,C,,61,CG (n=61)
anon185,CG,C,15,11.5,6,5,2,2,4,C,,61,CG (n=61)
anon187,CG,C,15,10.5,6,4,2,2,4,C,,61,CG (n=61)
anon188,GC,G,15,1,1,0,1,0,1,G,,60,GC (n=60)
anon19,CG,C,15,3,2,1,2,1,3,C,,61,CG (n=61)
anon191,CG,C,4,4,2,2,2,2,4,C,,61,CG (n=61)
anon192,CG,C,15,12,7,4,2,2,4,C,,61,CG (n=61)
anon194,CG,C,15,11,7,4,2,2,4,C,,61,CG (n=61)
anon195,GC,G,15,8.5,7,1,2,1,3,G,,60,GC (n=60)
anon196,CG,C,15,7,4,3,2,2,4,C,,61,CG (n=61)
anon197,CG,C,15,7,3,4,2,2,4,C,,61,CG (n=61)
anon198,GC,G,4,4,2,2,2,2,4,G,,60,GC (n=60)
anon199,GC,G,15,3,2,1,1,1,2,G,,60,GC (n=60)
anon20,GC,G,15,8.5,5,3,2,2,4,G,,60,GC (n=60)
anon201,CG,C,15,13,7,6,2,2,4,C,,61,CG (n=61)
anon202,GC,G,15,8,4,4,2,2,4,G,,60,GC (n=60)
anon203,GC,G,15,10,5,5,2,2,4,G,,60,GC (n=60)
anon204,CG,C,15,12.5,7,5,2,2,4,C,,61,CG (n=61)
anon205,GC,G,15,8.5,5,3,2,1,3,G,,60,GC (n=60)
anon206,GC,G,15,9.5,4,5,2,2,4,G,,60,GC (n=60)
anon208,CG,C,15,11.5,7,4,2,2,4,C,,61,CG (n=61)
anon209,GC,G,15,11,7,4,2,2,4,G,,60,GC (n=60)
anon21,GC,G,15,10.5,7,3,2,1,3,G,,60,GC (n=60)
anon210,GC,G,15,4,2,2,2,2,4,G,,60,GC (n=60)
anon211,GC,G,15,10,6,3,2,1,3,G,,60,GC (n=60)
anon212,GC,G,4,4,2,2,2,2,4,G,,60,GC (n=60)
anon214,CG,C,15,11,7,4,2,2,4,C,,61,CG (n=61)
anon215,CG,C,15,11.5,7,4,2,1,3,C,,61,CG (n=61)
anon216,CG,C,3,2.5,1,1,0,0,0,C,,61,CG (n=61)
anon218,GC,G,15,13,7,6,2,2,4,G,,60,GC (n=60)
anon221,GC,G,15,13.5,7,6,2,2,4,G,,60,GC (n=60)
anon24,GC,G,15,12,7,4,2,1,3,G,,60,GC (n=60)
anon25,GC,G,15,12,7,5,2,2,4,G,,60,GC (n=60)
anon26,CG,C,15,8,7,1,2,0,2,C,,61,CG (n=61)
anon28,GC,G,11,7,4,3,0,0,0,G,,60,GC (n=60)
anon29,CG,C,4,3,2,1,2,1,3,C,,61,CG (n=61)
anon3,GC,G,11,7,3,4,0,0,0,G,,60,GC (n=60)
anon31,CG,C,15,5.5,4,1,2,0,2,C,,61,CG (n=61)
anon32,CG,C,15,12,7,4,2,1,3,C,,61,CG (n=61)
anon33,CG,C,15,13,7,5,2,2,4,C,,61,CG (n=61)
anon36,GC,G,15,8,5,3,2,2,4,G,,60,GC (n=60)
anon38,GC,G,15,11,6,5,2,2,4,G,,60,GC (n=60)
anon40,CG,C,15,3,2,1,2,1,3,C,,61,CG (n=61)
anon41,GC,G,15,12,6,5,1,1,2,G,,60,GC (n=60)
anon44,GC,G,15,9.5,6,3,1,1,2,G,,60,GC (n=60)
anon46,CG,C,15,12.5,6,6,2,2,4,C,,61,CG (n=61)
