study,task_order,username,C,G
study1,Classify first,anon100,3,5
study1,Classify first,anon108,2,0
study1,Classify first,anon109,1,3
study1,Classify first,anon110,5,3.5
study1,Classify first,anon112,2,0
study1,Classify first,anon12,6,5
study1,Classify first,anon124,1,0
study1,Classify first,anon126,4,3.5
study1,Classify first,anon137,3,3
study1,Classify first,anon139,3,1
study1,Classify first,anon143,2,0
study1,Classify first,anon148,3,2.5
study1,Classify first,anon151,3,3
study1,Classify first,anon154,6,5
study1,Classify first,anon157,5,3.5
study1,Classify first,anon160,4,4
study1,Classify first,anon162,6,3.5
study1,Classify first,anon167,4,3.5
study1,Classify first,anon171,6,4
study1,Classify first,anon174,3,4
study1,Classify first,anon175,4,3
study1,Classify first,anon182,6,5
study1,Classify first,anon186,6,1.5
study1,Classify first,anon199,2,1
study1,Classify first,anon202,5,3
study1,Classify first,anon206,6,4.5
study1,Classify first,anon211,4,3
study1,Classify first,anon218,5,3.5
study1,Classify first,anon220,1,0.5
study1,Classify first,anon225,4,3
study1,Classify first,anon229,4,1
study1,Classify first,anon23,2,3.5
study1,Classify first,anon25,2,0
study1,Classify first,anon29,5,4
study1,Classify first,anon50,5,2.5
study1,Classify first,anon53,5,3.5
study1,Classify first,anon54,4,5
study1,Classify first,anon57,3,2.5
study1,Classify first,anon65,5,4
study1,Classify first,anon73,4,3.5
study1,Classify first,anon75,5,4
study1,Classify first,anon78,5,1
study1,Classify first,anon85,5,4
study1,Classify first,anon90,5,5
study1,Classify first,anon96,6,1
study1,Classify first,anon97,6,5
study1,Generate first,anon101,4,4
study1,Generate first,anon103,6,5
study1,Generate first,anon104,4,2.5
study1,Generate first,anon105,6,4
study1,Generate first,anon106,6,1
study1,Generate first,anon113,5,4.5
study1,Generate first,anon114,5,3.5
study1,Generate first,anon115,5,2
study1,Generate first,anon117,5,1
study1,Generate first,anon120,3,0
study1,Generate first,anon125,6,4
study1,Generate first,anon128,6,3
study1,Generate first,anon13,5,3
study1,Generate first,anon133,1,2
study1,Generate first,anon14,5,2
study1,Generate first,anon147,4,3
study1,Generate first,anon149,4,4
study1,Generate first,anon152,6,2
study1,Generate first,anon153,4,3
study1,Generate first,anon16,5,3.5
study1,Generate first,anon161,5,3
study1,Generate first,anon164,6,4
study1,Generate first,anon165,6,3
study1,Generate first,anon169,6,1
study1,Generate first,anon170,4,4
study1,Generate first,anon178,2,0
study1,Generate first,anon185,4,0.5
study1,Generate first,anon19,6,3
study1,Generate first,anon190,3,4
study1,Generate first,anon191,4,1.5
study1,Generate first,anon193,6,2
study1,Generate first,anon210,6,4
study1,Generate first,anon212,6,4
study1,Generate first,anon217,2,0
study1,Generate first,anon221,4,2
study1,Generate first,anon224,2,0
study1,Generate first,anon227,6,2.5
study1,Generate first,anon230,4,1
study1,Generate first,anon42,5,1
study1,Generate first,anon44,6,5
study1,Generate first,anon45,5,5
study1,Generate first,anon46,6,3.5
study1,Generate first,anon48,4,3.5
study1,Generate first,anon55,6,4
study1,Generate first,anon58,1,0
study1,Generate first,anon59,2,0
study1,Generate first,anon60,5,1.5
study1,Generate first,anon64,5,4
study1,Generate first,anon70,2,1
study1,Generate first,anon74,5,3.5
study1,Generate first,anon82,5,3
study1,Generate first,anon84,5,3
study1,Generate first,anon89,4,3
study1,Generate first,anon91,3,1
study1,Generate first,anon92,4,2
study1,Generate first,anon93,4,2
study2,Classify first,anon10,6,3.5
study2,Classify first,anon100,5,3.5
study2,Classify first,anon108,6,4
study2,Classify first,anon109,5,3.5
study2,Classify first,anon114,4,3.5
study2,Classify first,anon116,4,3
study2,Classify first,anon117,6,4
study2,Classify first,anon118,4,4
study2,Classify first,anon12,3,3
study2,Classify first,anon122,3,2
study2,Classify first,anon128,1,2.5
study2,Classify first,anon134,3,3
study2,Classify first,anon139,5,0.5
study2,Classify first,anon143,2,3
study2,Classify first,anon148,2,0
study2,Classify first,anon153,5,4.5
study2,Classify first,anon157,4,4.5
study2,Classify first,anon162,6,2.5
study2,Classify first,anon164,5,3
study2,Classify first,anon167,4,0
study2,Classify first,anon174,2,0
study2,Classify first,anon177,5,5
study2,Classify first,anon18,6,2.5
study2,Classify first,anon183,2,0
study2,Classify first,anon184,6,3
study2,Classify first,anon185,4,3.5
